Team,Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Boston Bruins,Max Lundgren,G,"$952,500",1,RFA then UFA
Boston Bruins,Jiri Patera,G,"$850,000",1,UFA
Boston Bruins,Simon Zajicek,G,"$850,000",1,RFA then UFA
Boston Bruins,Luke Cavallin,G,"$850,000",1,RFA then UFA
Buffalo Sabres,Joshua Norris,C,"$7,950,000",4,UFA
Buffalo Sabres,Zach Benson,"LW,C","$7,500,000",7,UFA
Buffalo Sabres,Tage Thompson,"C,RW","$7,142,857",4,UFA
Buffalo Sabres,Josh Doan,"RW,C","$6,950,000",7,UFA
Buffalo Sabres,Ryan McLeod,C,"$5,000,000",3,UFA
Buffalo Sabres,Jason Zucker,"LW,RW","$4,750,000",1,UFA
Buffalo Sabres,Peyton Krebs,"C,LW","$4,500,000",4,UFA
Buffalo Sabres,Jack Quinn,"RW,LW","$3,375,000",1,RFA then UFA
Buffalo Sabres,Beck Malenstyn,"LW,RW","$2,916,667",6,UFA
Buffalo Sabres,Justin Danforth,"RW,C","$1,800,000",1,UFA
Buffalo Sabres,Sam Carrick,"C,RW","$1,000,000",1,UFA
Buffalo Sabres,Noah Östlund,"C,LW","$886,666",1,RFA
Buffalo Sabres,Tyson Kozak,"C,LW","$875,000",2,RFA then UFA
Buffalo Sabres,Rasmus Dahlin,"LD,RD","$11,000,000",6,UFA
Buffalo Sabres,Owen Power,"LD,RD","$8,350,000",5,UFA
Buffalo Sabres,Mattias Samuelsson,"LD,RD","$4,285,714",4,UFA
Buffalo Sabres,Olen Zellweger,LD,"$3,100,000",3,RFA
Buffalo Sabres,Conor Timmins,RD,"$2,200,000",1,UFA
Buffalo Sabres,Louis Crevier,RD,"$900,000",1,RFA then UFA
Buffalo Sabres,Zach Metsa,"RD,LD","$850,000",2,UFA
Buffalo Sabres,Ukko-Pekka Luukkonen,G,"$4,750,000",3,UFA
Buffalo Sabres,Alex Lyon,G,"$1,500,000",1,UFA
Buffalo Sabres,Colten Ellis,G,"$850,000",1,UFA-Group6 then UFA
Buffalo Sabres,Jake Richard,RW,"$1,013,750",2,RFA
Buffalo Sabres,Konsta Helenius,"C,RW","$953,750",2,RFA
Buffalo Sabres,Riley Fiddler-Schultz,,"$940,000",1,RFA then UFA
Buffalo Sabres,Zac Funk,"RW,LW","$905,000",1,RFA
Buffalo Sabres,Jiri Kulich,"C,LW","$886,666",1,RFA
Buffalo Sabres,Trevor Kuntar,"C,LW","$875,000",2,UFA
Buffalo Sabres,Mason Geertsen,"LW,D","$850,000",1,UFA
Buffalo Sabres,Conor Sheary,"LW,RW","$850,000",1,UFA
Buffalo Sabres,Carson Meyer,"RW,LW","$850,000",1,UFA
Buffalo Sabres,Aidan McDonough,LW,"$850,000",1,UFA
Buffalo Sabres,Jason Polin,RW,"$850,000",1,UFA
Buffalo Sabres,Maxim Strbak,D,"$1,028,333",3,RFA
Buffalo Sabres,Gavin McCarthy,D,"$1,007,500",3,RFA
Buffalo Sabres,Radim Mrtka,D,"$974,167",3,RFA
Buffalo Sabres,Vsevolod Komarov,RD,"$910,000",1,RFA
Buffalo Sabres,Ryan Johnson,LD,"$875,000",2,RFA then UFA
Buffalo Sabres,Dennis Gilbert,LD,"$850,000",1,UFA
Buffalo Sabres,Jack Rathbone,D,"$850,000",1,UFA
Buffalo Sabres,Topias Leinonen,G,"$961,667",2,RFA
Buffalo Sabres,Scott Ratzlaff,G,"$935,000",2,RFA
Buffalo Sabres,Matt Villalta,G,"$850,000",1,UFA
Calgary Flames,Jonathan Huberdeau,LW,"$10,500,000",5,UFA
Calgary Flames,Matt Coronato,"RW,LW","$6,500,000",6,UFA
Calgary Flames,Yegor Sharangovich,"C,LW","$5,750,000",4,UFA
Calgary Flames,Ryan Strome,C,"$5,000,000",1,UFA
Calgary Flames,Joel Farabee,"LW,RW","$5,000,000",2,UFA
Calgary Flames,Morgan Frost,C,"$4,375,000",1,UFA
Calgary Flames,Connor Zary,"C,LW","$3,775,000",2,RFA then UFA
Calgary Flames,Mikael Backlund,C,"$3,250,000",2,UFA
