Team,Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Dallas Stars,Thomas Harley,LD,"$10,587,000",8,UFA
Dallas Stars,Miro Heiskanen,"LD,RD","$8,450,000",3,UFA
Dallas Stars,Esa Lindell,LD,"$5,250,000",4,UFA
Dallas Stars,Nils Lundkvist,RD,"$1,750,000",2,UFA
Dallas Stars,Tyler Myers,RD,"$1,500,000",1,UFA
Dallas Stars,Lian Bichsel,LD,"$918,333",1,RFA
Dallas Stars,Kyle Capobianco,LD,"$875,000",2,UFA
Dallas Stars,Jake Oettinger,G,"$8,250,000",7,UFA
Dallas Stars,Casey DeSmith,G,"$1,050,000",1,UFA
Dallas Stars,Dylan Hryckowian,,"$1,013,750",2,RFA
Dallas Stars,Artem Shlaine,C,"$952,500",1,RFA then UFA
Dallas Stars,Christian Fitzgerald,,"$952,500",1,RFA then UFA
Dallas Stars,Angus MacDonell,C,"$950,000",2,RFA
Dallas Stars,Jaxon Fuder,,"$950,000",3,RFA
Dallas Stars,Ayrton Martino,LW,"$942,500",1,RFA then UFA
Dallas Stars,Justin Ertel,"LW,RW","$942,500",1,RFA then UFA
Dallas Stars,Emil Hemming,RW,"$941,667",3,RFA
Dallas Stars,Matthew Seminoff,"RW,C","$875,000",2,RFA
Dallas Stars,Harrison Scott,F,"$875,000",2,UFA
Dallas Stars,Cameron Hughes,"C,LW","$850,000",1,UFA
Dallas Stars,Aram Minnetian,D,"$1,075,000",3,RFA
Dallas Stars,Jack Anderson,,"$1,050,000",2,RFA then UFA
Dallas Stars,Trey Taylor,D,"$975,000",1,RFA then UFA
Dallas Stars,Niilopekka Muhonen,D,"$950,000",3,RFA
Dallas Stars,Connor Punnett,D,"$945,000",1,RFA then UFA
Dallas Stars,Tristan Bertucci,D,"$934,166",2,RFA
Dallas Stars,Luke Krys,D,"$875,000",2,UFA
Dallas Stars,Kyle Burroughs,D,"$850,000",1,UFA
Dallas Stars,Arno Tiefensee,G,"$925,000",1,RFA then UFA
Dallas Stars,Brandon Halverson,G,"$850,000",1,UFA
Dallas Stars,Remi Poirier,G,"$850,000",1,UFA-Group6 then UFA
Detroit Red Wings,Dylan Larkin,C,"$8,700,000",5,UFA
Detroit Red Wings,Lucas Raymond,RW,"$8,075,000",6,UFA
Detroit Red Wings,Alex DeBrincat,"LW,RW","$7,875,000",1,UFA
Detroit Red Wings,Andrew Copp,"C,LW","$5,625,000",1,UFA
Detroit Red Wings,J.T. Compher,"C,RW","$5,100,000",2,UFA
Detroit Red Wings,Viktor Arvidsson,"LW,RW","$5,000,000",2,UFA
Detroit Red Wings,Michael Rasmussen,C,"$3,200,000",2,UFA
Detroit Red Wings,Mason Appleton,RW,"$2,900,000",1,UFA
Detroit Red Wings,Keegan Kolesar,RW,"$2,500,000",2,UFA
Detroit Red Wings,Michael Brandsegg-Nygard,"RW,LW","$953,750",2,RFA
Detroit Red Wings,Emmitt Finnie,"C,LW","$921,667",2,RFA
Detroit Red Wings,Marco Kasper,C,"$886,666",1,RFA
Detroit Red Wings,Carter Mazur,LW,"$875,000",2,RFA then UFA
Detroit Red Wings,Moritz Seider,RD,"$8,550,000",5,UFA
Detroit Red Wings,Justin Faulk,RD,"$6,500,000",1,UFA
Detroit Red Wings,Ben Chiarot,LD,"$3,850,000",3,UFA
Detroit Red Wings,Jacob Bernard-Docker,RD,"$1,600,000",2,UFA
Detroit Red Wings,Albert Johansson,"LD,RD","$1,125,000",1,RFA then UFA
Detroit Red Wings,Axel Sandin Pellikka,RD,"$940,833",2,RFA
Detroit Red Wings,Jacob Bryson,"LD,RD","$850,000",1,UFA
Detroit Red Wings,Simon Edvinsson,LD,,4,Unsigned RFA - no contract
Detroit Red Wings,John Gibson,G,"$6,400,000",1,UFA
Detroit Red Wings,Daniil Tarasov,G,"$2,000,000",1,UFA
Detroit Red Wings,Dylan James,LW,"$1,050,000",2,RFA
Detroit Red Wings,Theo Rochette,C,"$1,025,000",1,RFA then UFA
Detroit Red Wings,Eddie Genborg,LW,"$997,500",3,RFA
Detroit Red Wings,Noah Dower Nilsson,"C,RW","$990,000",3,RFA
Detroit Red Wings,Carter Bear,"C,LW","$974,167",3,RFA
Detroit Red Wings,Jesse Kiiskinen,RW,"$945,833",2,RFA
Detroit Red Wings,Ondrej Becher,"C,W","$940,000",1,RFA
Detroit Red Wings,Nate Danielson,C,"$909,166",2,RFA
Detroit Red Wings,Sheldon Dries,"C,W","$875,000",2,UFA
Detroit Red Wings,Dominik Shine,"C,RW","$875,000",2,UFA
Detroit Red Wings,John Leonard,"LW,RW","$850,000",1,UFA
Detroit Red Wings,Chase Stillman,"RW,LW","$850,000",1,RFA then UFA
Detroit Red Wings,Cameron Butler,RW,"$850,000",1,UFA-Group6 then UFA
Detroit Red Wings,Wilmer Skoog,"C,LW","$850,000",1,UFA
Detroit Red Wings,Anton Johansson,D,"$970,000",2,RFA
Detroit Red Wings,Shai Buium,D,"$942,500",1,RFA then UFA
Detroit Red Wings,William Wallinder,D,"$875,000",2,RFA then UFA
Detroit Red Wings,William Lagesson,LD,"$850,000",1,UFA
Detroit Red Wings,Ronald Attard,D,"$850,000",1,UFA
Detroit Red Wings,Eemil Viro,D,,3,Unsigned RFA - no contract
Detroit Red Wings,Trey Augustine,G,"$1,075,000",3,RFA
Detroit Red Wings,Michal Postava,G,"$975,000",1,RFA then UFA
Detroit Red Wings,Carter Gylander,G,"$850,000",1,RFA then UFA
Edmonton Oilers,Leon Draisaitl,"C,LW","$14,000,000",7,UFA
Edmonton Oilers,Connor McDavid,C,"$12,500,000",2,UFA
Edmonton Oilers,Zach Hyman,"RW,LW","$5,500,000",2,UFA
Edmonton Oilers,Ryan Nugent-Hopkins,"C,LW","$5,125,000",3,UFA
Edmonton Oilers,Jason Dickinson,"C,LW","$4,000,000",5,UFA
Edmonton Oilers,Trent Frederic,"LW,RW","$3,850,000",7,UFA
Edmonton Oilers,Vasily Podkolzin,LW,"$2,950,000",3,UFA
Edmonton Oilers,Kasperi Kapanen,"RW,C","$2,600,000",1,UFA
Edmonton Oilers,Mattias Janmark,"C,LW","$1,450,000",1,UFA
Edmonton Oilers,Colton Dach,"C,LW","$1,200,000",2,RFA then UFA
Edmonton Oilers,Mathieu Joseph,"LW,RW","$1,000,000",1,UFA
Edmonton Oilers,Josh Samanski,"C,LW","$975,000",1,RFA then UFA
Edmonton Oilers,Isaac Howard,LW,"$972,500",2,RFA
Edmonton Oilers,Matthew Savoie,"RW,LW","$886,666",1,RFA
Edmonton Oilers,Evan Bouchard,RD,"$10,500,000",3,UFA
Edmonton Oilers,Jake Walman,"LD,RD","$7,000,000",7,UFA
Edmonton Oilers,Connor Murphy,RD,"$4,100,000",5,UFA
Edmonton Oilers,Mattias Ekholm,LD,"$4,000,000",3,UFA
Edmonton Oilers,Ryan Shea,LD,"$4,000,000",5,UFA
Edmonton Oilers,Shakir Mukhamadullin,"LD,RD","$1,750,000",2,RFA then UFA
Edmonton Oilers,Spencer Stastney,LD,"$1,525,000",1,UFA
Edmonton Oilers,Ty Emberson,"RD,LD","$1,300,000",1,UFA
Edmonton Oilers,Alec Regula,RD,"$850,000",1,UFA-Group6 then UFA
Edmonton Oilers,Tristan Jarry,G,"$5,375,000",2,UFA
Edmonton Oilers,Frederik Andersen,G,"$1,000,000",1,UFA
Edmonton Oilers,Devon Levi,G,"$812,500",1,RFA then UFA
Edmonton Oilers,William Nicholl,"C,LW","$985,000",3,RFA
Edmonton Oilers,Viljami Marjala,"C,LW","$947,500",1,RFA then UFA
Edmonton Oilers,James Stefan,"RW,LW","$945,000",1,RFA
Edmonton Oilers,Connor Clattenburg,LW,"$928,333",2,RFA
Edmonton Oilers,Owen Michaels,,"$900,000",2,RFA then UFA
Edmonton Oilers,Brady Stonehouse,"RW,LW","$896,667",1,RFA
Edmonton Oilers,Quinn Hutson,,"$875,000",2,RFA then UFA
Edmonton Oilers,Max Jones,"LW,RW","$850,000",1,UFA
Edmonton Oilers,Aku Raty,"RW,LW","$850,000",1,RFA then UFA
Edmonton Oilers,Eduards Tralmaks,"LW,RW","$850,000",1,UFA
Edmonton Oilers,Roby Jarventie,"LW,RW",,4,Unsigned RFA/UFA
Edmonton Oilers,Josh Brown,RD,"$1,000,000",1,UFA
Edmonton Oilers,Tomas Cibulka,,"$955,000",2,RFA
Edmonton Oilers,Damien Carfagna,D,"$937,500",1,RFA then UFA
Edmonton Oilers,Beau Akey,D,"$894,166",2,RFA
Edmonton Oilers,Riley Stillman,LD,"$850,000",1,UFA
Edmonton Oilers,Atro Leppänen,,"$850,000",1,UFA
Edmonton Oilers,Nathaniel Day,G,"$956,667",2,RFA
Edmonton Oilers,Samuel Jonsson,G,"$955,000",2,RFA
Edmonton Oilers,Matt Tomkins,G,"$850,000",1,UFA
Edmonton Oilers,Connor Ungar,G,"$850,000",1,RFA then UFA
Florida Panthers,Aleksander Barkov,C,"$10,000,000",4,UFA
Florida Panthers,Matthew Tkachuk,"LW,RW","$9,500,000",4,UFA
Florida Panthers,Sam Reinhart,RW,"$8,625,000",6,UFA
Florida Panthers,Brady Tkachuk,LW,"$8,205,714",2,UFA
Florida Panthers,Sam Bennett,C,"$8,000,000",7,UFA
Florida Panthers,Carter Verhaeghe,LW,"$7,000,000",7,UFA
Florida Panthers,Brad Marchand,"RW,LW","$5,250,000",5,UFA
Florida Panthers,Anton Lundell,C,"$5,000,000",4,UFA
Florida Panthers,Eetu Luostarinen,"LW,C","$5,000,000",9,UFA
Florida Panthers,Garnet Hathaway,"RW,LW","$1,200,000",1,UFA
Florida Panthers,Jonah Gadjovich,LW,"$905,000",2,UFA
Florida Panthers,Cole Schwindt,"RW,C","$875,000",2,UFA
Florida Panthers,Lars Eller,"C,LW","$850,000",1,UFA
Florida Panthers,Seth Jones,RD,"$7,000,000",4,UFA
Florida Panthers,Aaron Ekblad,RD,"$6,100,000",7,UFA
Florida Panthers,Gustav Forsling,LD,"$5,750,000",6,UFA
Florida Panthers,Niko Mikkola,LD,"$5,000,000",8,UFA
Florida Panthers,Radko Gudas,RD,"$1,500,000",6,UFA
Florida Panthers,Dmitry Kulikov,"LD,RD","$1,180,000",2,UFA
Florida Panthers,Uvis Balinskis,"LD,RD","$875,000",2,UFA
Florida Panthers,Jacob Markstrom,G,"$6,000,000",2,UFA
Florida Panthers,Akira Schmid,G,"$2,000,000",2,UFA
Florida Panthers,Jack Devine,RW,"$972,500",2,RFA
Florida Panthers,Gracyn Sawchyn,C,"$934,166",2,RFA
Florida Panthers,Sandis Vilmanis,"LW,RW","$925,000",3,RFA
Florida Panthers,Hunter St. Martin,LW,"$928,889",2,RFA
Florida Panthers,Kai Schwindt,LW,"$873,334",1,RFA
Florida Panthers,Sam Lafferty,"RW,C","$850,000",1,UFA
Florida Panthers,Bokondji Imama,"LW,RW","$850,000",1,UFA
Florida Panthers,Mackenzie Entwistle,"RW,C","$850,000",1,UFA
Florida Panthers,Angus Crookshank,"LW,RW","$850,000",1,UFA
Florida Panthers,John Beecher,"C,LW","$850,000",1,RFA then UFA
Florida Panthers,Cole Reinhardt,LW,"$812,500",1,UFA
Florida Panthers,Matvei Shuravin,D,"$1,000,000",3,RFA
Florida Panthers,Ludvig Jansson,RD,"$955,000",2,RFA
Florida Panthers,Emil Pieniniemi,D,"$906,666",2,RFA
Florida Panthers,Alexander Petrovic,RD,"$875,000",2,UFA
Florida Panthers,Marek Alscher,LD,"$865,000",1,RFA
Florida Panthers,Casey Fitzgerald,D,"$850,000",1,UFA
Florida Panthers,Tobias Bjornfot,LD,"$850,000",1,RFA then UFA
Florida Panthers,Donovan Sebrango,LD,"$850,000",1,UFA-Group6 then UFA
Florida Panthers,Mikulas Hovorka,RD,"$850,000",1,RFA then UFA
Florida Panthers,Tyler Muszelik,G,"$960,000",2,RFA
Florida Panthers,Kirill Gerasimyuk,G,"$925,000",1,RFA
Florida Panthers,Cooper Black,G,"$875,000",2,UFA
Los Angeles Kings,Artemi Panarin,LW,"$11,000,000",2,UFA
Los Angeles Kings,Adrian Kempe,"LW,C","$10,625,000",8,UFA
Los Angeles Kings,Kevin Fiala,LW,"$7,875,000",3,UFA
Los Angeles Kings,Quinton Byfield,C,"$6,250,000",3,UFA
Los Angeles Kings,Trevor Moore,"LW,RW","$4,200,000",2,UFA
Los Angeles Kings,Alex Laferriere,"RW,C","$4,100,000",2,RFA then UFA
Los Angeles Kings,Erik Haula,"C,LW","$3,600,000",2,UFA
Los Angeles Kings,Scott Laughton,"C,LW","$3,500,000",3,UFA
Los Angeles Kings,Joel Armia,"RW,LW","$2,500,000",1,UFA
Los Angeles Kings,Corey Perry,"RW,LW","$1,000,000",1,UFA
Los Angeles Kings,Mats Zuccarello,"RW,LW","$1,000,000",1,UFA
Los Angeles Kings,Samuel Helenius,"C,LW","$875,000",2,RFA then UFA
Los Angeles Kings,Taylor Ward,RW,"$875,000",2,UFA
Los Angeles Kings,Alex Turcotte,"C,RW","$850,000",1,RFA then UFA
Los Angeles Kings,Drew Doughty,RD,"$11,000,000",1,UFA
Los Angeles Kings,Brandt Clarke,RD,"$7,400,000",5,UFA
Los Angeles Kings,Cody Ceci,RD,"$4,500,000",3,UFA
Los Angeles Kings,Mikey Anderson,LD,"$4,125,000",5,UFA
Los Angeles Kings,Brian Dumoulin,"LD,RD","$4,000,000",2,UFA
Los Angeles Kings,Joel Edmundson,LD,"$3,850,000",2,UFA
Los Angeles Kings,Erik Gustafsson,LD,"$1,000,000",1,UFA
Los Angeles Kings,Darcy Kuemper,G,"$5,250,000",1,UFA
Los Angeles Kings,Anton Forsberg,G,"$2,250,000",1,UFA
Los Angeles Kings,Elton Hermansson,,"$1,075,000",3,RFA
Los Angeles Kings,Vojtech Cihar,LW,"$974,167",3,RFA
Los Angeles Kings,Jimmy Lombardi,C,"$956,667",3,RFA
Los Angeles Kings,Grant Slukynsky,,"$952,500",1,RFA then UFA
Los Angeles Kings,Kenny Connors,C,"$942,500",1,RFA then UFA
Los Angeles Kings,Jared Wright,"RW,LW","$942,500",1,RFA then UFA
Los Angeles Kings,Kaleb Lawrence,"C,RW","$927,500",1,RFA then UFA
Los Angeles Kings,Koehn Ziemmer,RW,"$904,166",2,RFA
Los Angeles Kings,Lane Pederson,"C,RW","$875,000",2,UFA
Los Angeles Kings,Cole Guttman,"C,RW","$850,000",1,UFA
Los Angeles Kings,Jan Jenik,"W,C","$850,000",1,UFA-Group6 then UFA
Los Angeles Kings,Andre Lee,"LW,C","$850,000",1,UFA-Group6 then UFA
Los Angeles Kings,Martin Chromiak,"RW,LW","$850,000",1,RFA then UFA
Los Angeles Kings,Aatu Jamsen,"RW,LW","$850,000",1,RFA then UFA
Los Angeles Kings,Francesco Pinelli,C,"$850,000",1,RFA then UFA
Los Angeles Kings,Henry Brzustewicz,D,"$1,075,000",3,RFA
Los Angeles Kings,Jared Woolley,D,"$958,333",3,RFA
Los Angeles Kings,Otto Salin,D,"$956,250",2,RFA
Los Angeles Kings,Kirill Kirsanov,D,"$942,500",1,RFA then UFA
Los Angeles Kings,Jakub Dvorak,D,"$905,000",2,RFA
Los Angeles Kings,Angus Booth,LD,"$901,667",1,RFA
Los Angeles Kings,Joe Hicketts,D,"$850,000",1,UFA
Los Angeles Kings,Scott Perunovich,D,"$850,000",1,UFA
Los Angeles Kings,Hampton Slukynsky,G,"$1,075,000",3,RFA
Los Angeles Kings,Carter George,G,"$929,166",3,RFA
Los Angeles Kings,Erik Portillo,G,"$833,333",1,UFA-Group6 then UFA
Minnesota Wild,Kirill Kaprizov,LW,"$17,000,000",8,UFA
Minnesota Wild,Matt Boldy,"LW,RW","$7,000,000",4,UFA
Minnesota Wild,Joel Eriksson Ek,C,"$5,250,000",3,UFA
Minnesota Wild,Marcus Foligno,"LW,RW","$4,000,000",2,UFA
Minnesota Wild,Ryan Hartman,"RW,C","$4,000,000",1,UFA
Minnesota Wild,Yakov Trenin,"C,LW","$3,500,000",2,UFA
Minnesota Wild,Michael McCarron,"C,RW","$3,333,333",6,UFA
Minnesota Wild,Bobby Brink,RW,"$2,750,000",1,RFA then UFA
Minnesota Wild,Blake Coleman,"LW,RW","$2,450,000",1,UFA
Minnesota Wild,Nico Sturm,"C,LW","$2,000,000",1,UFA
Minnesota Wild,Maxim Shabanov,"LW,RW","$1,600,000",1,RFA then UFA
Minnesota Wild,Danila Yurov,"C,RW","$972,500",2,RFA
Minnesota Wild,Nick Foligno,"LW,RW","$900,000",1,UFA
Minnesota Wild,Justin Kirkland,"C,LW","$850,000",1,UFA
Minnesota Wild,Brock Faber,RD,"$8,500,000",7,UFA
Minnesota Wild,Quinn Hughes,LD,"$7,850,000",1,UFA
Minnesota Wild,Jared Spurgeon,RD,"$7,575,000",1,UFA
Minnesota Wild,Jonas Brodin,LD,"$6,000,000",2,UFA
Minnesota Wild,Olli Maatta,"LD,RD","$3,500,000",2,UFA
Minnesota Wild,Zach Bogosian,"RD,LD","$1,250,000",1,UFA
Minnesota Wild,Daemon Hunt,LD,"$900,000",1,UFA-Group6 then UFA
Minnesota Wild,Filip Gustavsson,G,"$6,800,000",5,UFA
Minnesota Wild,Jesper Wallstedt,G,"$2,200,000",1,RFA then UFA
Minnesota Wild,Calvin Pickard,G,"$1,000,000",1,UFA
Minnesota Wild,Charlie Stramel,"C,RW","$1,075,000",3,RFA
Minnesota Wild,Rieger Lorenz,"LW,C","$1,013,750",2,RFA
Minnesota Wild,Riley Heidt,"C,LW","$940,833",2,RFA
Minnesota Wild,Rasmus Kumpulainen,C,"$924,583",2,RFA
Minnesota Wild,Hunter Haight,"C,RW","$883,333",1,RFA
Minnesota Wild,Jagger Joshua,,"$875,000",2,UFA
Minnesota Wild,Tyler Pitlick,"C,RW","$850,000",1,UFA
Minnesota Wild,Dylan Gambrell,C,"$850,000",1,UFA
Minnesota Wild,Mason Shaw,"C,LW","$850,000",1,UFA
Minnesota Wild,Caedan Bankier,C,"$850,000",1,RFA then UFA
Minnesota Wild,Ben Dexheimer,,"$980,000",1,RFA then UFA
Minnesota Wild,Viking Gustafsson Nyberg,LD,"$975,000",1,RFA
Minnesota Wild,Stevie Leskovar,D,"$960,000",2,RFA
Minnesota Wild,Jack Peart,D,"$942,500",1,RFA then UFA
Minnesota Wild,Matt Kiersted,LD,"$850,000",1,UFA
Minnesota Wild,Carson Lambos,LD,"$850,000",1,RFA then UFA
Minnesota Wild,Roman Schmidt,D,"$850,000",1,RFA then UFA
Minnesota Wild,David Spacek,"RD,LD","$850,000",1,RFA then UFA
Minnesota Wild,Filip Ruzicka,G,"$987,500",3,RFA
Minnesota Wild,Chase Wutzke,G,"$958,333",3,RFA
Minnesota Wild,Riley Mercer,G,"$920,000",2,RFA
Montreal Canadiens,Nick Suzuki,C,"$7,875,000",4,UFA
Montreal Canadiens,Cole Caufield,"LW,RW","$7,850,000",5,UFA
Montreal Canadiens,Juraj Slafkovský,"RW,LW","$7,600,000",7,UFA
Montreal Canadiens,Phillip Danault,C,"$5,500,000",1,UFA
Montreal Canadiens,Josh Anderson,"RW,LW","$5,500,000",1,UFA
Montreal Canadiens,Kirby Dach,C,"$3,600,000",1,UFA
Montreal Canadiens,Alex Newhook,"C,LW","$2,900,000",1,RFA then UFA
Montreal Canadiens,Jake Evans,"C,LW","$2,850,000",3,UFA
Montreal Canadiens,Alexandre Texier,"LW,RW","$2,500,000",2,UFA
Montreal Canadiens,Oliver Kapanen,"C,RW","$942,500",1,RFA
Montreal Canadiens,Ivan Demidov,"RW,LW","$9,150,000",9,UFA
Montreal Canadiens,Brett Berard,LW,"$850,000",1,RFA then UFA
Montreal Canadiens,Zack Bolduc,"RW,LW",,4,Unsigned RFA/UFA
Montreal Canadiens,Noah Dobson,RD,"$9,500,000",7,UFA
Montreal Canadiens,Lane Hutson,"LD,RD","$8,850,000",8,UFA
Montreal Canadiens,Mike Matheson,LD,"$6,000,000",5,UFA
Montreal Canadiens,Kaiden Guhle,LD,"$5,550,000",5,UFA
Montreal Canadiens,Alexandre Carrier,RD,"$3,750,000",1,UFA
Montreal Canadiens,Jayden Struble,LD,"$1,412,500",1,RFA then UFA
Montreal Canadiens,Arber Xhekaj,"LD,RD",,2,Unsigned RFA/UFA
Montreal Canadiens,Sam Montembeault,G,"$3,150,000",1,UFA
Montreal Canadiens,Jakub Dobes,G,"$5,357,575",4,UFA
Montreal Canadiens,Jacob Fowler,G,"$945,833",2,RFA
Montreal Canadiens,Vinzenz Rohrer,"C,RW","$972,500",2,RFA
Montreal Canadiens,Tyler Thorpe,RW,"$968,333",2,RFA
Montreal Canadiens,Florian Xhekaj,"LW,C","$941,667",1,RFA
Montreal Canadiens,Filip Mesar,RW,"$886,666",1,RFA
Montreal Canadiens,Owen Beck,C,"$853,333",1,RFA
Montreal Canadiens,Alex Belzile,"RW,C","$850,000",1,UFA
Montreal Canadiens,Samuel Poulin,"W,C","$850,000",1,UFA-Group6 then UFA
Montreal Canadiens,Sasha Pastujov,"RW,LW","$850,000",1,RFA
Montreal Canadiens,Lucas Condotta,C,"$850,000",1,UFA
Montreal Canadiens,Jared Davidson,C,"$850,000",1,RFA then UFA
Montreal Canadiens,Hunter McKown,C,"$850,000",1,RFA then UFA
Montreal Canadiens,Bogdan Konyushkov,D,"$1,013,750",2,RFA then UFA
Montreal Canadiens,Luke Mittelstadt,D,"$1,013,750",2,RFA then UFA
Montreal Canadiens,Owen Protz,D,"$1,004,167",3,RFA
Montreal Canadiens,Bryce Pickford,RD,"$965,000",3,RFA
Montreal Canadiens,David Reinbacher,RD,"$909,166",2,RFA
Montreal Canadiens,Adam Engström,"LD,RD","$896,667",1,RFA
Montreal Canadiens,Reilly Walsh,D,"$850,000",1,UFA
Montreal Canadiens,Ethan Samson,D,"$850,000",1,RFA
Montreal Canadiens,Maksymilian Szuber,D,"$850,000",1,RFA then UFA
Montreal Canadiens,Kaapo Kahkonen,G,"$1,000,000",1,UFA
Nashville Predators,Filip Forsberg,"LW,RW","$8,500,000",4,UFA
Nashville Predators,Steven Stamkos,"RW,C","$8,000,000",2,UFA
Nashville Predators,Jonathan Marchessault,"RW,LW","$5,500,000",3,UFA
Nashville Predators,Mavrik Bourque,"C,RW","$5,500,000",6,UFA
Nashville Predators,Ryan O'Reilly,C,"$4,500,000",1,UFA
Nashville Predators,Jack Drury,C,"$4,500,000",5,UFA
Nashville Predators,Ross Colton,"LW,C","$4,000,000",1,UFA
Nashville Predators,Alexander Kerfoot,"LW,C","$3,500,000",2,UFA
Nashville Predators,Nils Hoglander,"LW,RW","$3,000,000",2,UFA
Nashville Predators,Vitali Pinchuk,"LW,C","$1,025,000",1,RFA then UFA
Nashville Predators,Adam Edstrom,"LW,C","$975,000",1,RFA then UFA
Nashville Predators,Brady Martin,"C,RW","$974,167",3,RFA
Nashville Predators,Matthew Wood,"LW,C","$950,000",1,RFA
Nashville Predators,Ozzy Wiesblatt,"C,RW","$850,000",1,UFA-Group6 then UFA
Nashville Predators,Tyson Jost,"LW,C",,0,Unsigned UFA
Nashville Predators,Roman Josi,"LD,RD","$9,059,000",2,UFA
Nashville Predators,Brady Skjei,LD,"$7,000,000",5,UFA
Nashville Predators,Nicolas Hague,LD,"$5,500,000",3,UFA
Nashville Predators,Ilya Lyubushkin,RD,"$3,250,000",1,UFA
Nashville Predators,Nicklaus Perbix,RD,"$2,750,000",1,UFA
Nashville Predators,Justin Barron,"RD,LD","$1,575,000",1,RFA then UFA
Nashville Predators,Adam Wilsby,LD,"$850,000",1,RFA then UFA
Nashville Predators,Juuse Saros,G,"$7,740,000",7,UFA
Nashville Predators,Justus Annunen,G,"$1,250,000",2,UFA
Nashville Predators,Felix Nilsson,"C,W","$1,028,333",3,RFA
Nashville Predators,Aiden Fink,RW,"$972,500",2,RFA
Nashville Predators,Joseph Willis,"C,LW","$960,000",2,RFA
Nashville Predators,Cole O'Hara,RW,"$935,000",1,RFA then UFA
Nashville Predators,Hiroki Gojsic,RW,"$930,000",3,RFA
Nashville Predators,Austin Roest,"RW,C","$920,000",1,RFA
Nashville Predators,David Edstrom,C,"$909,166",2,RFA
Nashville Predators,Kalan Lind,LW,"$906,666",2,RFA
Nashville Predators,Reid Schaefer,LW,"$886,666",1,RFA
Nashville Predators,Joakim Kemell,RW,"$886,666",1,RFA
Nashville Predators,Chase Bradley,"LW,C","$875,000",2,RFA then UFA
Nashville Predators,Jake Lucchini,"C,LW","$850,000",1,UFA
Nashville Predators,Viggo Gustafsson,D,"$990,000",3,RFA
Nashville Predators,Daniel Nieminen,,"$975,000",3,RFA
Nashville Predators,Ryan Ufko,D,"$942,500",1,RFA then UFA
Nashville Predators,Andrew Gibson,D,"$925,000",2,RFA
Nashville Predators,Tanner Molendyk,D,"$909,166",2,RFA
Nashville Predators,Jack Ahcan,LD,"$875,000",2,UFA
Nashville Predators,Hunter Skinner,D,"$850,000",1,UFA-Group6 then UFA
Nashville Predators,Isak Posch,G,"$947,500",1,RFA then UFA
Nashville Predators,Matthew Murray,G,"$850,000",1,UFA
New Jersey Devils,Timo Meier,"RW,LW","$8,800,000",5,UFA
New Jersey Devils,Jack Hughes,C,"$8,000,000",4,UFA
New Jersey Devils,Jesper Bratt,"LW,RW","$7,875,000",5,UFA
New Jersey Devils,Nico Hischier,C,"$11,700,000",6,UFA
New Jersey Devils,Anthony Mantha,"LW,RW","$4,750,000",2,UFA
New Jersey Devils,Dawson Mercer,"C,RW","$4,000,000",1,RFA then UFA
New Jersey Devils,Arseny Gritsyuk,"LW,RW","$3,250,000",3,UFA
New Jersey Devils,Evan Rodrigues,"C,RW","$3,075,000",1,UFA
New Jersey Devils,Connor Brown,RW,"$3,000,000",3,UFA
New Jersey Devils,Luke Evangelista,"RW,LW","$3,000,000",1,RFA then UFA
New Jersey Devils,Stefan Noesen,"RW,LW","$2,750,000",1,UFA
New Jersey Devils,Cody Glass,"C,RW","$2,500,000",1,UFA
New Jersey Devils,Nick Bjugstad,"C,RW","$1,750,000",1,UFA
New Jersey Devils,Jesper Boqvist,"C,LW","$1,500,000",1,UFA
New Jersey Devils,Dougie Hamilton,RD,"$9,000,000",2,UFA
New Jersey Devils,Luke Hughes,"LD,RD","$9,000,000",6,UFA
New Jersey Devils,Brett Pesce,RD,"$5,500,000",4,UFA
New Jersey Devils,Brenden Dillon,LD,"$4,000,000",1,UFA
New Jersey Devils,Johnathan Kovacevic,D,"$4,000,000",4,UFA
New Jersey Devils,Jonas Siegenthaler,LD,"$3,400,000",2,UFA
New Jersey Devils,Declan Chisholm,LD,"$1,600,000",1,UFA
New Jersey Devils,Jake Allen,G,"$1,800,000",4,UFA
New Jersey Devils,Nico Daws,G,"$1,100,000",2,UFA
New Jersey Devils,Lenni Hämeenaho,RW,"$972,500",2,RFA
New Jersey Devils,Matyas Melovsky,"C,W","$972,500",2,RFA
New Jersey Devils,Shane Lachance,LW,"$942,500",1,RFA
New Jersey Devils,Cam Squires,RW,"$938,333",2,RFA
New Jersey Devils,Josh Filmon,"LW,RW","$913,333",1,RFA
New Jersey Devils,Colin White,"C,RW","$900,000",1,UFA
New Jersey Devils,Amadeus Lombardi,C,"$875,000",2,RFA then UFA
New Jersey Devils,Riley Tufte,"LW,RW","$850,000",1,UFA
New Jersey Devils,Marc McLaughlin,"C,RW","$850,000",1,UFA
New Jersey Devils,Ben Steeves,LW,"$850,000",1,RFA then UFA
New Jersey Devils,Xavier Parent,"LW,C","$850,000",1,RFA then UFA
New Jersey Devils,Anton Silayev,D,"$1,075,000",3,RFA
New Jersey Devils,Seamus Casey,D,"$950,000",1,RFA
New Jersey Devils,Mikael Diotte,D,"$950,000",1,RFA then UFA
New Jersey Devils,Ethan Edwards,D,"$942,500",1,RFA then UFA
New Jersey Devils,Etienne Morin,D,"$934,166",2,RFA
