Team,Year,Round,Status,PickValue,TradeDetails
Detroit Red Wings,2028,5,Own,0.54,
Detroit Red Wings,2028,6,Own,0.29,
Detroit Red Wings,2028,7,Own,0.14,
Detroit Red Wings,2029,1,Own,31.29,
Detroit Red Wings,2029,2,Own,5.71,
Detroit Red Wings,2029,3,Traded Away,2.05,Jul 1 2026 | Traded Away The Detroit Red Wings acquire Keegan Kolesar from the Vegas Golden Knights for a 2029 3rd round pick and a 2027 7th round pick
Detroit Red Wings,2029,4,Own,0.98,
Detroit Red Wings,2029,5,Own,0.54,
Detroit Red Wings,2029,6,Own,0.29,
Detroit Red Wings,2029,7,Own,0.14,
Detroit Red Wings,2030,1,Own,31.29,
Detroit Red Wings,2030,2,Own,5.71,
Detroit Red Wings,2030,3,Own,2.05,
Detroit Red Wings,2030,4,Own,0.98,
Detroit Red Wings,2030,5,Own,0.54,
Detroit Red Wings,2030,6,Own,0.29,
Detroit Red Wings,2030,7,Own,0.14,
Detroit Red Wings,2031,1,Own,31.29,
Detroit Red Wings,2031,2,Own,5.71,
Detroit Red Wings,2031,3,Own,2.05,
Detroit Red Wings,2031,4,Own,0.98,
Detroit Red Wings,2031,5,Own,0.54,
Detroit Red Wings,2031,6,Own,0.29,
Detroit Red Wings,2031,7,Own,0.14,
Edmonton Oilers,2027,1,Traded Away,14.49,Mar 4 2026 | Traded Away The Edmonton Oilers acquire Jason Dickinson (50% retained) and Colton Dach from the Chicago Blackhawks for Andrew Mangiapane and a conditional 2027 1st round pick.
Edmonton Oilers,2027,2,Own,5.71,
Edmonton Oilers,2027,3,Traded Away,2.05,Dec 12 2025 | Traded Away The Edmonton Oilers acquired Spencer Stastney from the Nashville Predators for a 2027 3rd round pick
Edmonton Oilers,2027,4,Traded Away,0.98,Mar 7 2024 | Traded Away The Edmonton Oilers acquired Troy Stecher and a 2024 7th round pick from the Arizona Coyotes for a 2027 4th round pick
Edmonton Oilers,2027,5,Own,0.54,
Edmonton Oilers,2027,5,Acquired from Bruins,0.54,Jul 1 2025 The Boston Bruins acquired Viktor Arvidsson from the Edmonton Oilers for a 2027 5th round pick
Edmonton Oilers,2027,6,Own,0.29,
Edmonton Oilers,2027,7,Own,0.14,
Edmonton Oilers,2028,1,Own,14.49,
Edmonton Oilers,2028,2,Traded Away,5.71,Mar 2 2026 | Traded Away The Edmonton Oilers acquire Connor Murphy (50% retained) from the Chicago Blackhawks for a 2028 2nd round pick.
Edmonton Oilers,2028,3,Acquired from Blues,2.05,Aug 20 2024 The Edmonton Oilers acquired Paul Fischer and a 2028 3rd round pick from the St. Louis Blues for future considerations
Edmonton Oilers,2028,3,Traded Away,2.05,Jul 1 2026 | Traded Away The Edmonton Oilers acquire Devon Levi and a 2028 7th round pick from the Buffalo Sabres for a 2028 3rd round pick
Edmonton Oilers,2028,4,Own,0.98,
Edmonton Oilers,2028,5,Own,0.54,
Edmonton Oilers,2028,6,Own,0.29,
Edmonton Oilers,2028,7,Own,0.14,
Edmonton Oilers,2028,7,Acquired from Sabres,0.14,Jul 1 2026 The Edmonton Oilers acquire Devon Levi and a 2028 7th round pick from the Buffalo Sabres for a 2028 3rd round pick
Edmonton Oilers,2029,1,Own,14.49,
Edmonton Oilers,2029,2,Traded Away,5.71,"Dec 12 2025 | Traded Away The Edmonton Oilers acquired Tristan Jarry and Samuel Poulin from the Pittsburgh Penguins for Stuart Skinner, Brett Kulak, and a 2029 2nd round pick"
Edmonton Oilers,2029,3,Own,2.05,
Edmonton Oilers,2029,4,Own,0.98,
Edmonton Oilers,2029,5,Own,0.54,
Edmonton Oilers,2029,6,Own,0.29,
Edmonton Oilers,2029,7,Own,0.14,
Edmonton Oilers,2030,1,Own,14.49,
Edmonton Oilers,2030,2,Own,5.71,
Edmonton Oilers,2030,3,Own,2.05,
Edmonton Oilers,2030,4,Own,0.98,
Edmonton Oilers,2030,5,Own,0.54,
Edmonton Oilers,2030,6,Own,0.29,
Edmonton Oilers,2030,7,Own,0.14,
Edmonton Oilers,2031,1,Own,14.49,
Edmonton Oilers,2031,2,Own,5.71,
Edmonton Oilers,2031,3,Own,2.05,
Edmonton Oilers,2031,4,Own,0.98,
Edmonton Oilers,2031,5,Own,0.54,
Edmonton Oilers,2031,6,Own,0.29,
Edmonton Oilers,2031,7,Own,0.14,
Florida Panthers,2027,1,Traded Away,31.29,Mar 1 2025 | Traded Away The Florida Panthers acquired Seth Jones and a 2026 4th round pick from the Chicago Blackhawks for Spencer Knight and a 2026 conditional 1st round pick (top 10 protected)
Florida Panthers,2027,2,Acquired from Jets,5.71,"Jun 21 2026 The Seattle Kraken acquire Mackie Samoskevich from the Florida Panthers for a 2026 1st round pick (TBL, #25) and a conditional 2027 2nd round pick"
Florida Panthers,2027,2,Traded Away,5.71,"Jun 21 2026 | Traded Away The Florida Panthers acquire Brady Tkachuk from the Ottawa Senators for a 2026 1st round pick (#9), a 2026 1st round pick (TBL, #25), a conditional 2029 1st round pick and a 2027 2nd round pick"
Florida Panthers,2027,3,Own,2.05,
Florida Panthers,2027,4,Traded Away,0.98,Jun 25 2026 | Traded Away The Florida Panthers acquire Garnet Hathaway (50% retained) and a 2026 6th round pick (#181) from the Philadelphia Flyers for a 2026 5th round pick (#136) and a 2027 4th round pick
Florida Panthers,2027,5,Own,0.54,
Florida Panthers,2027,6,Own,0.29,
Florida Panthers,2027,6,Acquired from Capitals,0.29,Jun 26 2025 The Washington Capitals acquired Justin Sourdif from the Florida Panthers for 2026 2nd Round Pick & 2027 6th Round Pick
Florida Panthers,2027,7,Own,0.14,
Florida Panthers,2027,7,Acquired from Sharks,0.14,Mar 6 2025 The Florida Panthers acquired Nico Sturm and a 2027 7th round pick from the San Jose Sharks for a 2026 4th round pick
Florida Panthers,2028,1,Traded Away,31.29,Mar 7 2025 | Traded Away The Florida Panthers acquired Brad Marchand from the Boston Bruins for a conditional 2027 2nd round pick
Florida Panthers,2028,2,Own,5.71,
Florida Panthers,2028,3,Traded Away,2.05,Jun 29 2026 | Traded Away The Florida Panthers acquire Akira Schmid from the Vegas Golden Knights for a 2028 3rd round pick
Florida Panthers,2028,4,Own,0.98,
Florida Panthers,2028,5,Own,0.54,
Florida Panthers,2028,6,Own,0.29,
Florida Panthers,2028,7,Own,0.14,
Florida Panthers,2029,1,Traded Away,31.29,"Jun 21 2026 | Traded Away The Florida Panthers acquire Brady Tkachuk from the Ottawa Senators for a 2026 1st round pick (#9), a 2026 1st round pick (TBL, #25), a conditional 2029 1st round pick and a 2027 2nd round pick"
Florida Panthers,2029,2,Own,5.71,
Florida Panthers,2029,3,Own,2.05,
Florida Panthers,2029,4,Own,0.98,
Florida Panthers,2029,5,Own,0.54,
Florida Panthers,2029,6,Own,0.29,
Florida Panthers,2029,7,Own,0.14,
Florida Panthers,2030,1,Own,31.29,
Florida Panthers,2030,2,Own,5.71,
Florida Panthers,2030,3,Own,2.05,
Florida Panthers,2030,4,Own,0.98,
Florida Panthers,2030,5,Own,0.54,
Florida Panthers,2030,6,Own,0.29,
Florida Panthers,2030,7,Own,0.14,
Florida Panthers,2031,1,Own,31.29,
Florida Panthers,2031,2,Own,5.71,
Florida Panthers,2031,3,Own,2.05,
Florida Panthers,2031,4,Own,0.98,
Florida Panthers,2031,5,Own,0.54,
Florida Panthers,2031,6,Own,0.29,
Florida Panthers,2031,7,Own,0.14,
Los Angeles Kings,2027,1,Own,14.49,
Los Angeles Kings,2027,2,Own,5.71,
Los Angeles Kings,2027,3,Traded Away,2.05,Mar 7 2025 | Traded Away The Los Angeles Kings acquired Andrei Kuzmenko and a 2025 7th round pick from the Philadelphia Flyers for a 2027 3rd round pick
Los Angeles Kings,2027,4,Own,0.98,
Los Angeles Kings,2027,5,Own,0.54,
Los Angeles Kings,2027,6,Own,0.29,
Los Angeles Kings,2027,7,Traded Away,0.14,"Jun 27 2026 | Traded Away The Los Angeles Kings acquire a 2026 7th round pick (VGK, #223) from the Montreal Canadiens for a 2027 7th round pick"
Los Angeles Kings,2028,1,Own,14.49,
Los Angeles Kings,2028,2,Own,5.71,
Los Angeles Kings,2028,2,Acquired from Lightning,5.71,Mar 6 2026 The Tampa Bay Lightning acquire Corey Perry (50% retained) from the Los Angeles Kings for a 2028 2nd round pick.
Los Angeles Kings,2028,3,Own,2.05,
Los Angeles Kings,2028,4,Own,0.98,Feb 4 2026 The Los Angeles Kings acquired Artemi Panarin from the New York Rangers for Liam Greentree
Los Angeles Kings,2028,5,Own,0.54,
Los Angeles Kings,2028,6,Own,0.29,
Los Angeles Kings,2028,7,Own,0.14,
Los Angeles Kings,2029,1,Own,14.49,
Los Angeles Kings,2029,2,Own,5.71,
Los Angeles Kings,2029,3,Own,2.05,
Los Angeles Kings,2029,4,Own,0.98,
Los Angeles Kings,2029,5,Own,0.54,
Los Angeles Kings,2029,6,Own,0.29,
Los Angeles Kings,2029,7,Own,0.14,
Los Angeles Kings,2030,1,Own,14.49,
Los Angeles Kings,2030,2,Own,5.71,
Los Angeles Kings,2030,3,Own,2.05,
Los Angeles Kings,2030,4,Own,0.98,
Los Angeles Kings,2030,5,Own,0.54,
Los Angeles Kings,2030,6,Own,0.29,
Los Angeles Kings,2030,7,Own,0.14,
Los Angeles Kings,2031,1,Own,14.49,
Los Angeles Kings,2031,2,Own,5.71,
Los Angeles Kings,2031,3,Own,2.05,
Los Angeles Kings,2031,4,Own,0.98,
Los Angeles Kings,2031,5,Own,0.54,
Los Angeles Kings,2031,6,Own,0.29,
Los Angeles Kings,2031,7,Own,0.14,
Minnesota Wild,2027,1,Own,14.49,
Minnesota Wild,2027,2,Traded Away,5.71,"Nov 30 2024 | Traded Away The Minnesota Wild acquired David Jiricek and a 2025 5th round pick from the Columbus Blue Jackets for Daemon Hunt, a 2025 1st round pick, 2026 3rd round pick, 2026 4th round pick, and 2027 2nd round pick"
Minnesota Wild,2027,3,Traded Away,2.05,"Jul 2 2026 | Traded Away The Minnesota Wild acquire Blake Coleman (50% retained) and Olli Maatta from the Calgary Flames for Jacob Middleton, a 2029 2nd round pick, a 2027 3rd round pick and a 2028 4th round pick"
Minnesota Wild,2027,4,Own,0.98,
Minnesota Wild,2027,5,Own,0.54,
Minnesota Wild,2027,6,Own,0.29,
Minnesota Wild,2027,7,Own,0.14,
Minnesota Wild,2028,1,Own,14.49,
Minnesota Wild,2028,2,Traded Away,5.71,Mar 3 2026 | Traded Away The Minnesota Wild acquire Michael McCarron from the Nashville Predators for a 2028 2nd round pick.
Minnesota Wild,2028,3,Own,2.05,
Minnesota Wild,2028,4,Traded Away,0.98,"Jul 2 2026 | Traded Away The Minnesota Wild acquire Blake Coleman (50% retained) and Olli Maatta from the Calgary Flames for Jacob Middleton, a 2029 2nd round pick, a 2027 3rd round pick and a 2028 4th round pick"
Minnesota Wild,2028,5,Own,0.54,
Minnesota Wild,2028,6,Own,0.29,
Minnesota Wild,2028,7,Own,0.14,
Minnesota Wild,2029,1,Own,14.49,
Minnesota Wild,2029,2,Traded Away,5.71,"Jul 2 2026 | Traded Away The Minnesota Wild acquire Blake Coleman (50% retained) and Olli Maatta from the Calgary Flames for Jacob Middleton, a 2029 2nd round pick, a 2027 3rd round pick and a 2028 4th round pick"
Minnesota Wild,2029,3,Own,2.05,
Minnesota Wild,2029,4,Own,0.98,
Minnesota Wild,2029,5,Own,0.54,
Minnesota Wild,2029,6,Own,0.29,
Minnesota Wild,2029,7,Own,0.14,
Minnesota Wild,2030,1,Own,14.49,
Minnesota Wild,2030,2,Own,5.71,
Minnesota Wild,2030,3,Own,2.05,
Minnesota Wild,2030,4,Own,0.98,
Minnesota Wild,2030,5,Own,0.54,
Minnesota Wild,2030,6,Own,0.29,
Minnesota Wild,2030,7,Own,0.14,
Minnesota Wild,2031,1,Own,14.49,
Minnesota Wild,2031,2,Own,5.71,
Minnesota Wild,2031,3,Own,2.05,
Minnesota Wild,2031,4,Own,0.98,
Minnesota Wild,2031,5,Own,0.54,
Minnesota Wild,2031,6,Own,0.29,
Minnesota Wild,2031,7,Own,0.14,
Montreal Canadiens,2027,1,Own,14.49,
Montreal Canadiens,2027,2,Own,5.71,
Montreal Canadiens,2027,3,Traded Away,2.05,"Jun 26 2026 | Traded Away The Montreal Canadiens acquire a 2026 1st round pick (DAL, #26) from the Vegas Golden Knights for a 2026 1st round pick (#28) and a 2027 3rd round pick"
Montreal Canadiens,2027,4,Own,0.98,
Montreal Canadiens,2027,5,Own,0.54,
Montreal Canadiens,2027,6,Own,0.29,
Montreal Canadiens,2027,7,Acquired from Kings,0.14,"Jun 27 2026 The Los Angeles Kings acquire a 2026 7th round pick (VGK, #223) from the Montreal Canadiens for a 2027 7th round pick"
Montreal Canadiens,2027,7,Own,0.14,
Montreal Canadiens,2028,1,Own,14.49,
Montreal Canadiens,2028,2,Own,5.71,
Montreal Canadiens,2028,3,Own,2.05,
Montreal Canadiens,2028,4,Own,0.98,
Montreal Canadiens,2028,5,Own,0.54,
Montreal Canadiens,2028,6,Own,0.29,
Montreal Canadiens,2028,7,Own,0.14,
Montreal Canadiens,2029,1,Own,14.49,
Montreal Canadiens,2029,2,Own,5.71,
Montreal Canadiens,2029,3,Own,2.05,
Montreal Canadiens,2029,4,Own,0.98,
Montreal Canadiens,2029,5,Own,0.54,
Montreal Canadiens,2029,6,Own,0.29,
Montreal Canadiens,2029,7,Own,0.14,
Montreal Canadiens,2030,1,Own,14.49,
Montreal Canadiens,2030,2,Own,5.71,
Montreal Canadiens,2030,3,Own,2.05,
Montreal Canadiens,2030,4,Own,0.98,
Montreal Canadiens,2030,5,Own,0.54,
Montreal Canadiens,2030,6,Own,0.29,
Montreal Canadiens,2030,7,Own,0.14,
Montreal Canadiens,2031,1,Own,14.49,
Montreal Canadiens,2031,2,Own,5.71,
Montreal Canadiens,2031,3,Own,2.05,
Montreal Canadiens,2031,4,Own,0.98,
Montreal Canadiens,2031,5,Own,0.54,
Montreal Canadiens,2031,6,Own,0.29,
Montreal Canadiens,2031,7,Own,0.14,
Nashville Predators,2027,1,Own,31.29,
Nashville Predators,2027,2,Traded Away,5.71,Jul 1 2026 | Traded Away The Nashville Predators acquire Mavrik Bourque and Ilya Lyubushkin from the Dallas Stars for a 2027 2nd round pick and a 2028 3rd round pick (VGK)
Nashville Predators,2027,2,Acquired from Golden Knights,5.71,Jun 30 2025 The Nashville Predators acquired Nicolas Hague and a conditional 2027 3rd round pick from the Vegas Golden Knights for Colton Sissons and Jeremy Lauzon
Nashville Predators,2027,3,Own,2.05,
Nashville Predators,2027,3,Acquired from Oilers,2.05,Dec 12 2025 The Edmonton Oilers acquired Spencer Stastney from the Nashville Predators for a 2027 3rd round pick
Nashville Predators,2027,4,Acquired from Rangers,0.98,Nov 25 2024 The Pittsburgh Penguins acquired Philip Tomasino from the Nashville Predators for a 2027 4th round pick
Nashville Predators,2027,4,Own,0.98,
Nashville Predators,2027,5,Own,0.54,
Nashville Predators,2027,5,Acquired from Avalanche,0.54,Mar 4 2026 The Colorado Avalanche acquire Nick Blankenburg from the Nashville Predators for a 2027 5th round pick.
Nashville Predators,2027,6,Own,0.29,
Nashville Predators,2027,7,Own,0.14,
Nashville Predators,2028,1,Own,31.29,
Nashville Predators,2028,1,Acquired from Avalanche,14.49,Sep 1 2026 The New Jersey Devils acquire Luke Evangelista from the Nashville Predators for a conditional 2028 1st round pick (COL) and a 2028 2nd round pick
Nashville Predators,2028,2,Own,5.71,
Nashville Predators,2028,2,Acquired from Devils,5.71,Sep 1 2026 The New Jersey Devils acquire Luke Evangelista from the Nashville Predators for a conditional 2028 1st round pick (COL) and a 2028 2nd round pick
Nashville Predators,2028,2,Acquired from Wild,5.71,Mar 3 2026 The Minnesota Wild acquire Michael McCarron from the Nashville Predators for a 2028 2nd round pick.
Nashville Predators,2028,3,Own,2.05,
Nashville Predators,2028,4,Own,0.98,
Nashville Predators,2028,5,Own,0.54,
Nashville Predators,2028,5,Acquired from Penguins,0.54,"Jun 27 2026 The Pittsburgh Penguins acquire a 2026 5th round pick (CAR, #160) from the Nashville Predators for a 2028 5th round pick"
Nashville Predators,2028,6,Own,0.29,
Nashville Predators,2028,7,Own,0.14,
Nashville Predators,2029,1,Own,31.29,
Nashville Predators,2029,2,Own,5.71,
Nashville Predators,2029,3,Own,2.05,
Nashville Predators,2029,4,Own,0.98,
Nashville Predators,2029,5,Own,0.54,
Nashville Predators,2029,6,Own,0.29,
Nashville Predators,2029,7,Own,0.14,
Nashville Predators,2030,1,Own,31.29,
Nashville Predators,2030,2,Own,5.71,
Nashville Predators,2030,3,Own,2.05,
Nashville Predators,2030,4,Own,0.98,
Nashville Predators,2030,5,Own,0.54,
Nashville Predators,2030,6,Own,0.29,
Nashville Predators,2030,7,Own,0.14,
Nashville Predators,2031,1,Own,31.29,
Nashville Predators,2031,2,Own,5.71,
Nashville Predators,2031,3,Own,2.05,
Nashville Predators,2031,4,Own,0.98,
Nashville Predators,2031,5,Own,0.54,
Nashville Predators,2031,6,Own,0.29,
Nashville Predators,2031,7,Own,0.14,
New Jersey Devils,2027,1,Own,31.29,
New Jersey Devils,2027,1,Acquired from Golden Knights,14.49,"Jun 23 2026 The Calgary Flames acquire Simon Nemec and Maxim Tsyplakov from the New Jersey Devils for a conditional 2027 1st round pick (VGK), a conditional 2028 1st round pick (COL), a 2026 2nd round pick (NYR, #35) and Etienne Morin"
New Jersey Devils,2027,2,Own,5.71,
New Jersey Devils,2027,3,Traded Away,2.05,"Mar 7 2025 | Traded Away The New Jersey Devils acquired Cody Glass and Jonathan Gruden from the Pittsburgh Penguins for Chase Stillman, Max Graham, and a 2027 3rd round pick"
New Jersey Devils,2027,4,Traded Away,0.98,Jun 25 2026 | Traded Away The New Jersey Devils acquire Declan Chisholm from the Washington Capitals for a 2027 4th round pick
New Jersey Devils,2027,5,Own,0.54,
New Jersey Devils,2027,6,Traded Away,0.29,"Jan 27 2026 | Traded Away The New York Islanders acquired Ondrej Palat, a 2026 3rd round pick, and a 2027 6th round pick from the New Jersey Devils for Maxim Tsyplakov"
New Jersey Devils,2027,7,Own,0.14,
New Jersey Devils,2028,1,Own,31.29,
New Jersey Devils,2028,2,Traded Away,5.71,Sep 1 2026 | Traded Away The New Jersey Devils acquire Luke Evangelista from the Nashville Predators for a conditional 2028 1st round pick (COL) and a 2028 2nd round pick
New Jersey Devils,2028,3,Own,2.05,
New Jersey Devils,2028,4,Own,0.98,
New Jersey Devils,2028,5,Own,0.54,
New Jersey Devils,2028,6,Own,0.29,
New Jersey Devils,2028,7,Own,0.14,
New Jersey Devils,2029,1,Own,31.29,
New Jersey Devils,2029,2,Own,5.71,
New Jersey Devils,2029,3,Own,2.05,
New Jersey Devils,2029,4,Own,0.98,
New Jersey Devils,2029,5,Own,0.54,
New Jersey Devils,2029,6,Own,0.29,
New Jersey Devils,2029,7,Own,0.14,
New Jersey Devils,2030,1,Own,31.29,
New Jersey Devils,2030,2,Own,5.71,
New Jersey Devils,2030,3,Own,2.05,
New Jersey Devils,2030,4,Own,0.98,
New Jersey Devils,2030,5,Own,0.54,
New Jersey Devils,2030,6,Own,0.29,
New Jersey Devils,2030,7,Own,0.14,
New Jersey Devils,2031,1,Own,31.29,
New Jersey Devils,2031,2,Own,5.71,
New Jersey Devils,2031,3,Own,2.05,
New Jersey Devils,2031,4,Own,0.98,
New Jersey Devils,2031,5,Own,0.54,
New Jersey Devils,2031,6,Own,0.29,
New Jersey Devils,2031,7,Own,0.14,
New York Islanders,2027,1,Own,31.29,
New York Islanders,2027,2,Own,5.71,
New York Islanders,2027,3,Own,2.05,
New York Islanders,2027,4,Own,0.98,
New York Islanders,2027,5,Own,0.54,
New York Islanders,2027,6,Acquired from Devils,0.29,"Jan 27 2026 The New York Islanders acquired Ondrej Palat, a 2026 3rd round pick, and a 2027 6th round pick from the New Jersey Devils for Maxim Tsyplakov"
New York Islanders,2027,6,Own,0.29,
New York Islanders,2027,7,Own,0.14,
New York Islanders,2028,1,Own,31.29,
New York Islanders,2028,2,Own,5.71,
New York Islanders,2028,3,Own,2.05,
New York Islanders,2028,4,Own,0.98,
New York Islanders,2028,5,Own,0.54,
New York Islanders,2028,6,Own,0.29,
New York Islanders,2028,7,Own,0.14,
New York Islanders,2029,1,Own,31.29,
New York Islanders,2029,2,Own,5.71,
New York Islanders,2029,3,Own,2.05,
New York Islanders,2029,4,Own,0.98,
New York Islanders,2029,5,Own,0.54,
New York Islanders,2029,6,Own,0.29,
New York Islanders,2029,7,Own,0.14,
New York Islanders,2030,1,Own,31.29,
New York Islanders,2030,2,Own,5.71,
New York Islanders,2030,3,Own,2.05,
New York Islanders,2030,4,Own,0.98,
New York Islanders,2030,5,Own,0.54,
New York Islanders,2030,6,Own,0.29,
New York Islanders,2030,7,Own,0.14,
New York Islanders,2031,1,Own,31.29,
New York Islanders,2031,2,Own,5.71,
New York Islanders,2031,3,Own,2.05,
New York Islanders,2031,4,Own,0.98,
New York Islanders,2031,5,Own,0.54,
New York Islanders,2031,6,Own,0.29,
New York Islanders,2031,7,Own,0.14,
New York Rangers,2027,1,Own,68.02,
New York Rangers,2027,2,Traded Away,5.71,Jul 1 2024 | Traded Away The New York Rangers acquired Reilly Smith from the Pittsburgh Penguins for a 2027 2nd round pick and conditional 2025 5th round pick
New York Rangers,2027,2,Acquired from Bruins,5.71,Jul 1 2026 The Boston Bruins acquire William Borgen from the New York Rangers for a 2027 2nd round pick and a conditional 2028 3rd round pick
New York Rangers,2027,3,Own,2.05,
New York Rangers,2027,3,Acquired from Mammoth,2.05,"Jul 1 2026 The Utah Mammoth acquire Vincent Trocheck from the New York Rangers for Sean Durzi, Cole Beaudoin and a conditional 2027 3rd round pick"
New York Rangers,2027,4,Traded Away,0.98,Mar 8 2024 | Traded Away The New York Rangers acquired Chad Ruhwedel from the Pittsburgh Penguins for a 2027 4th round pick
New York Rangers,2027,5,Own,0.54,
New York Rangers,2027,6,Own,0.29,
New York Rangers,2027,7,Own,0.14,
New York Rangers,2028,1,Traded Away,68.02,"Jun 26 2026 | Traded Away The New York Rangers acquire Pavel Dorofeyev from the Vegas Golden Knights for a 2026 1st round pick (DAL, #26), a 2026 3rd round pick (BUF, #92) and a conditional 2028 1st round pick"
New York Rangers,2028,2,Own,5.71,
New York Rangers,2028,3,Own,2.05,
New York Rangers,2028,3,Acquired from Bruins,2.05,Jul 1 2026 The Boston Bruins acquire William Borgen from the New York Rangers for a 2027 2nd round pick and a conditional 2028 3rd round pick
New York Rangers,2028,4,Traded Away,0.98,Jul 1 2026 | Traded Away The New York Rangers acquire Joonas Korpisalo from the Boston Bruins for Kalle Väisänen and a 2028 4th round pick
New York Rangers,2028,5,Own,0.54,
New York Rangers,2028,6,Own,0.29,
New York Rangers,2028,7,Own,0.14,
New York Rangers,2029,1,Own,68.02,
New York Rangers,2029,2,Own,5.71,
New York Rangers,2029,3,Own,2.05,
New York Rangers,2029,4,Own,0.98,
New York Rangers,2029,5,Own,0.54,
New York Rangers,2029,6,Own,0.29,
New York Rangers,2029,7,Own,0.14,
New York Rangers,2030,1,Traded Away,68.02,Jul 1 2026 | Traded Away The New York Rangers acquire Marcus Pettersson from the Vancouver Canucks for a conditional 2030 1st round pick
New York Rangers,2030,2,Own,5.71,
New York Rangers,2030,3,Own,2.05,
New York Rangers,2030,4,Own,0.98,
New York Rangers,2030,5,Own,0.54,
New York Rangers,2030,6,Own,0.29,
New York Rangers,2030,7,Own,0.14,
New York Rangers,2031,1,Own,68.02,
New York Rangers,2031,2,Own,5.71,
New York Rangers,2031,3,Own,2.05,
New York Rangers,2031,4,Own,0.98,
New York Rangers,2031,5,Own,0.54,
New York Rangers,2031,6,Own,0.29,
New York Rangers,2031,7,Own,0.14,
Ottawa Senators,2027,1,Own,14.49,
Ottawa Senators,2027,2,Acquired from Panthers,5.71,"Jun 21 2026 The Florida Panthers acquire Brady Tkachuk from the Ottawa Senators for a 2026 1st round pick (#9), a 2026 1st round pick (TBL, #25), a conditional 2029 1st round pick and a 2027 2nd round pick"
Ottawa Senators,2027,2,Own,5.71,
Ottawa Senators,2027,3,Own,2.05,
Ottawa Senators,2027,4,Own,0.98,
Ottawa Senators,2027,5,Traded Away,0.54,Jun 26 2026 | Traded Away The Ottawa Senators acquire Samuel Ersson from the Toronto Maple Leafs for a 2027 5th round pick
Ottawa Senators,2027,6,Traded Away,0.29,Jun 26 2026 | Traded Away The Ottawa Senators acquire Andre Burakovsky from the Chicago Blackhawks for a 2027 6th round pick
Ottawa Senators,2027,7,Traded Away,0.14,Jun 28 2025 | Traded Away The Ottawa Senators acquired a 2025 3rd round pick (#93) from the Washington Capitals for a 2025 3rd round pick (#96) and a 2027 7th round pick
Ottawa Senators,2028,1,Own,14.49,
Ottawa Senators,2028,2,Own,5.71,
Ottawa Senators,2028,3,Own,2.05,
Ottawa Senators,2028,4,Own,0.98,
Ottawa Senators,2028,5,Own,0.54,
Ottawa Senators,2028,6,Own,0.29,
Ottawa Senators,2028,7,Own,0.14,
Ottawa Senators,2029,1,Acquired from Panthers,31.29,"Jun 21 2026 The Florida Panthers acquire Brady Tkachuk from the Ottawa Senators for a 2026 1st round pick (#9), a 2026 1st round pick (TBL, #25), a conditional 2029 1st round pick and a 2027 2nd round pick"
Ottawa Senators,2029,1,Own,14.49,
Ottawa Senators,2029,2,Own,5.71,
Ottawa Senators,2029,3,Own,2.05,
Ottawa Senators,2029,4,Own,0.98,
Ottawa Senators,2029,5,Own,0.54,
Ottawa Senators,2029,6,Own,0.29,
Ottawa Senators,2029,7,Own,0.14,
Ottawa Senators,2030,1,Own,14.49,
Ottawa Senators,2030,2,Own,5.71,
Ottawa Senators,2030,3,Own,2.05,
Ottawa Senators,2030,4,Own,0.98,
Ottawa Senators,2030,5,Own,0.54,
Ottawa Senators,2030,6,Own,0.29,
Ottawa Senators,2030,7,Own,0.14,
Ottawa Senators,2031,1,Own,14.49,
Ottawa Senators,2031,2,Own,5.71,
Ottawa Senators,2031,3,Own,2.05,
Ottawa Senators,2031,4,Own,0.98,
Ottawa Senators,2031,5,Own,0.54,
Ottawa Senators,2031,6,Own,0.29,
Ottawa Senators,2031,7,Own,0.14,
Philadelphia Flyers,2027,1,Own,14.49,
Philadelphia Flyers,2027,2,Own,5.71,
Philadelphia Flyers,2027,3,Acquired from Kings,2.05,Mar 7 2025 The Los Angeles Kings acquired Andrei Kuzmenko and a 2025 7th round pick from the Philadelphia Flyers for a 2027 3rd round pick
Philadelphia Flyers,2027,3,Own,2.05,
Philadelphia Flyers,2027,4,Acquired from Panthers,0.98,Jun 25 2026 The Florida Panthers acquire Garnet Hathaway (50% retained) and a 2026 6th round pick (#181) from the Philadelphia Flyers for a 2026 5th round pick (#136) and a 2027 4th round pick
Philadelphia Flyers,2027,4,Own,0.98,
Philadelphia Flyers,2027,5,Own,0.54,
Philadelphia Flyers,2027,6,Traded Away,0.29,"Mar 7 2025 | Traded Away The Toronto Maple Leafs acquired Scott Laughton, a 2025 4th round pick, a 2027 6th round pick from the Philadelphia Flyers for a 2027 1st round pick and Nikita Grebenkin"
Philadelphia Flyers,2027,7,Own,0.14,
Philadelphia Flyers,2028,1,Acquired from Maple Leafs,68.02,"Mar 7 2025 The Toronto Maple Leafs acquired Scott Laughton, a 2025 4th round pick, a 2027 6th round pick from the Philadelphia Flyers for a 2027 1st round pick and Nikita Grebenkin"
Philadelphia Flyers,2028,1,Own,14.49,
Philadelphia Flyers,2028,2,Own,5.71,
Philadelphia Flyers,2028,3,Own,2.05,
Philadelphia Flyers,2028,4,Own,0.98,
Philadelphia Flyers,2028,5,Own,0.54,
Philadelphia Flyers,2028,6,Own,0.29,
