Team,Year,Round,Status,PickValue,TradeDetails
Buffalo Sabres,2028,7,Traded Away,0.14,Jul 1 2026 | Traded Away The Edmonton Oilers acquire Devon Levi and a 2028 7th round pick from the Buffalo Sabres for a 2028 3rd round pick
Buffalo Sabres,2029,1,Own,14.49,
Buffalo Sabres,2029,2,Own,5.71,
Buffalo Sabres,2029,3,Own,2.05,
Buffalo Sabres,2029,4,Own,0.98,
Buffalo Sabres,2029,5,Own,0.54,
Buffalo Sabres,2029,6,Own,0.29,
Buffalo Sabres,2029,7,Own,0.14,
Buffalo Sabres,2030,1,Own,14.49,
Buffalo Sabres,2030,2,Own,5.71,
Buffalo Sabres,2030,3,Own,2.05,
Buffalo Sabres,2030,4,Own,0.98,
Buffalo Sabres,2030,5,Own,0.54,
Buffalo Sabres,2030,6,Own,0.29,
Buffalo Sabres,2030,7,Own,0.14,
Buffalo Sabres,2031,1,Own,14.49,
Buffalo Sabres,2031,2,Own,5.71,
Buffalo Sabres,2031,3,Own,2.05,
Buffalo Sabres,2031,4,Own,0.98,
Buffalo Sabres,2031,5,Own,0.54,
Buffalo Sabres,2031,6,Own,0.29,
Buffalo Sabres,2031,7,Own,0.14,
Calgary Flames,2027,1,Own,68.02,
Calgary Flames,2027,2,Own,5.71,
Calgary Flames,2027,2,Acquired from Avalanche,5.71,"Mar 6 2026 The Colorado Avalanche acquire Nazem Kadri (20% retained) and a 2027 4th round pick from the Calgary Flames for Victor Olofsson, Maxmilian Curran, a conditional 2028 1st round pick and a conditional 2027 2nd round pick."
Calgary Flames,2027,3,Own,2.05,
Calgary Flames,2027,3,Acquired from Wild,2.05,"Jul 2 2026 The Minnesota Wild acquire Blake Coleman (50% retained) and Olli Maatta from the Calgary Flames for Jacob Middleton, a 2029 2nd round pick, a 2027 3rd round pick and a 2028 4th round pick"
Calgary Flames,2027,4,Traded Away,0.98,"Mar 6 2026 | Traded Away The Colorado Avalanche acquire Nazem Kadri (20% retained) and a 2027 4th round pick from the Calgary Flames for Victor Olofsson, Maxmilian Curran, a conditional 2028 1st round pick and a conditional 2027 2nd round pick."
Calgary Flames,2027,5,Own,0.54,
Calgary Flames,2027,6,Own,0.29,
Calgary Flames,2027,7,Traded Away,0.14,Mar 6 2026 | Traded Away The Calgary Flames acquire Ryan Strome from the Anaheim Ducks for a 2027 7th round pick.
Calgary Flames,2028,1,Own,68.02,
Calgary Flames,2028,2,Own,5.71,
